ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_top3,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
9,0.8417983281107992,0.7635079148400834,JARI5-baseline,Correct,315,rank_bin_top3,RR,GPT-4,391,0.8056265984654731
9,0.3779847795634761,0.2851711605517232,JARI5-baseline,Correct,129,rank_exact,RR,GPT-4,391,0.329923273657289
14,0.5099081441821148,0.4115793305815783,JARI5-baseline,Correct,180,rank_bin_top3,RR,GPT-4,391,0.4603580562659846
14,0.4430997528533064,0.3466892924817428,JARI5-baseline,Correct,154,rank_exact,RR,GPT-4,391,0.3938618925831202
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_top3,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
9,0.9945258140782346,0.970418447697022,JARI5-baseline,Wrong,386,rank_bin_top3,RR,GPT-4,391,0.9872122762148338
9,0.7657643310226588,0.6774515372468161,JARI5-baseline,Wrong,283,rank_exact,RR,GPT-4,391,0.7237851662404092
14,0.999548387796983,0.9856571708134496,JARI5-baseline,Wrong,390,rank_bin_top3,RR,GPT-4,391,0.9974424552429668
14,0.8087994355061654,0.7255922685216014,JARI5-baseline,Wrong,301,rank_exact,RR,GPT-4,391,0.7698209718670077
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
9,0.9960146924570076,0.9739948935270428,JARI5-baseline,Both,387,rank_top1,RR,GPT-4,391,0.989769820971867
14,0.991301408033754,0.9635122053239144,JARI5-baseline,Both,384,rank_top1,RR,GPT-4,391,0.9820971867007672
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
5,0.9741246230124568,0.9332238320110594,JARI5-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,383,0.95822454308094
5,0.5907245696898311,0.071479212752109,JARI5-baseline,Correct,2,rank_bin_bottom_preserve,RR,GPT-4,8,0.25
9,0.8417983281107992,0.7635079148400834,JARI5-baseline,Correct,315,rank_bin_overall,RR,GPT-4,391,0.8056265984654731
9,0.3779847795634761,0.2851711605517232,JARI5-baseline,Correct,129,rank_exact,RR,GPT-4,391,0.329923273657289
9,0.8472146425583496,0.7694036679125549,JARI5-baseline,Correct,314,rank_bin_top_preserve,RR,GPT-4,387,0.8113695090439277
9,0.6993581574175981,0.0455872608097005,JARI5-baseline,Correct,1,rank_bin_bottom_preserve,RR,GPT-4,4,0.25
14,0.5099081441821148,0.4115793305815783,JARI5-baseline,Correct,180,rank_bin_overall,RR,GPT-4,391,0.4603580562659846
14,0.4430997528533064,0.3466892924817428,JARI5-baseline,Correct,154,rank_exact,RR,GPT-4,391,0.3938618925831202
14,0.5039378163491215,0.4036752519012425,JARI5-baseline,Correct,170,rank_bin_top_preserve,RR,GPT-4,375,0.4533333333333333
14,0.8151876744113636,0.3864104054550271,JARI5-baseline,Correct,10,rank_bin_bottom_preserve,RR,GPT-4,16,0.625
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
5,0.6873262302663417,0.1681803297062361,JARI5-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI5-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
9,0.9945258140782346,0.970418447697022,JARI5-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
9,0.7657643310226588,0.6774515372468161,JARI5-baseline,Wrong,283,rank_exact,RR,GPT-4,391,0.7237851662404092
9,0.4344824647831747,0.0,JARI5-baseline,Wrong,0,rank_bin_top_preserve,RR,GPT-4,5,0.0
9,1.0,0.9901460998214124,JARI5-baseline,Wrong,386,rank_bin_bottom_preserve,RR,GPT-4,386,1.0
14,0.999548387796983,0.9856571708134496,JARI5-baseline,Wrong,390,rank_bin_overall,RR,GPT-4,391,0.9974424552429668
14,0.8087994355061654,0.7255922685216014,JARI5-baseline,Wrong,301,rank_exact,RR,GPT-4,391,0.7698209718670077
14,0.9054687942657692,0.0945312057342307,JARI5-baseline,Wrong,1,rank_bin_top_preserve,RR,GPT-4,2,0.5
14,1.0,0.9902213507906572,JARI5-baseline,Wrong,389,rank_bin_bottom_preserve,RR,GPT-4,389,1.0
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
9,0.9960146924570076,0.9739948935270428,JARI5-baseline,Both,387,rank_top1,RR,GPT-4,391,0.989769820971867
14,0.991301408033754,0.9635122053239144,JARI5-baseline,Both,384,rank_top1,RR,GPT-4,391,0.9820971867007672
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
5,0.9741246230124568,0.9332238320110594,JARI5-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,383,0.95822454308094
5,0.5907245696898311,0.071479212752109,JARI5-baseline,Correct,2,rank_bin_bottom_preserve,RR,GPT-4,8,0.25
9,0.8417983281107992,0.7635079148400834,JARI5-baseline,Correct,315,rank_bin_overall,RR,GPT-4,391,0.8056265984654731
9,0.3779847795634761,0.2851711605517232,JARI5-baseline,Correct,129,rank_exact,RR,GPT-4,391,0.329923273657289
9,0.8472146425583496,0.7694036679125549,JARI5-baseline,Correct,314,rank_bin_top_preserve,RR,GPT-4,387,0.8113695090439277
9,0.6993581574175981,0.0455872608097005,JARI5-baseline,Correct,1,rank_bin_bottom_preserve,RR,GPT-4,4,0.25
14,0.5099081441821148,0.4115793305815783,JARI5-baseline,Correct,180,rank_bin_overall,RR,GPT-4,391,0.4603580562659846
14,0.4430997528533064,0.3466892924817428,JARI5-baseline,Correct,154,rank_exact,RR,GPT-4,391,0.3938618925831202
14,0.5039378163491215,0.4036752519012425,JARI5-baseline,Correct,170,rank_bin_top_preserve,RR,GPT-4,375,0.4533333333333333
14,0.8151876744113636,0.3864104054550271,JARI5-baseline,Correct,10,rank_bin_bottom_preserve,RR,GPT-4,16,0.625
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
5,0.6873262302663417,0.1681803297062361,JARI5-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI5-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
9,0.9945258140782346,0.970418447697022,JARI5-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
9,0.7657643310226588,0.6774515372468161,JARI5-baseline,Wrong,283,rank_exact,RR,GPT-4,391,0.7237851662404092
9,0.4344824647831747,0.0,JARI5-baseline,Wrong,0,rank_bin_top_preserve,RR,GPT-4,5,0.0
9,1.0,0.9901460998214124,JARI5-baseline,Wrong,386,rank_bin_bottom_preserve,RR,GPT-4,386,1.0
14,0.999548387796983,0.9856571708134496,JARI5-baseline,Wrong,390,rank_bin_overall,RR,GPT-4,391,0.9974424552429668
14,0.8087994355061654,0.7255922685216014,JARI5-baseline,Wrong,301,rank_exact,RR,GPT-4,391,0.7698209718670077
14,0.9054687942657692,0.0945312057342307,JARI5-baseline,Wrong,1,rank_bin_top_preserve,RR,GPT-4,2,0.5
