pair_idx,bias,prompt,ari,panel,Rank_ARI_9,Rank_Wrong_Answer_ARI_9
0,PB,baseline,9,"gpt-3,qwen,mistral",2,1
1,PB,baseline,9,"gpt-3,qwen,mistral",2,1
2,PB,baseline,9,"gpt-3,qwen,mistral",2,1
3,PB,baseline,9,"gpt-3,qwen,mistral",2,1
4,PB,baseline,9,"gpt-3,qwen,mistral",1,2
5,PB,baseline,9,"gpt-3,qwen,mistral",1,2
6,PB,baseline,9,"gpt-3,qwen,mistral",2,1
7,PB,baseline,9,"gpt-3,qwen,mistral",2,1
8,PB,baseline,9,"gpt-3,qwen,mistral",2,1
9,PB,baseline,9,"gpt-3,qwen,mistral",2,1
10,PB,baseline,9,"gpt-3,qwen,mistral",2,1
11,PB,baseline,9,"gpt-3,qwen,mistral",2,1
12,PB,baseline,9,"gpt-3,qwen,mistral",2,1
13,PB,baseline,9,"gpt-3,qwen,mistral",2,1
14,PB,baseline,9,"gpt-3,qwen,mistral",2,1
15,PB,baseline,9,"gpt-3,qwen,mistral",1,2
16,PB,baseline,9,"gpt-3,qwen,mistral",2,1
17,PB,baseline,9,"gpt-3,qwen,mistral",2,1
18,PB,baseline,9,"gpt-3,qwen,mistral",2,1
19,PB,baseline,9,"gpt-3,qwen,mistral",2,1
20,PB,baseline,9,"gpt-3,qwen,mistral",1,2
21,PB,baseline,9,"gpt-3,qwen,mistral",2,1
22,PB,baseline,9,"gpt-3,qwen,mistral",2,1
23,PB,baseline,9,"gpt-3,qwen,mistral",2,1
24,PB,baseline,9,"gpt-3,qwen,mistral",2,1
25,PB,baseline,9,"gpt-3,qwen,mistral",1,2
26,PB,baseline,9,"gpt-3,qwen,mistral",2,1
27,PB,baseline,9,"gpt-3,qwen,mistral",1,2
28,PB,baseline,9,"gpt-3,qwen,mistral",2,1
29,PB,baseline,9,"gpt-3,qwen,mistral",2,1
30,PB,baseline,9,"gpt-3,qwen,mistral",2,1
31,PB,baseline,9,"gpt-3,qwen,mistral",2,1
32,PB,baseline,9,"gpt-3,qwen,mistral",1,2
33,PB,baseline,9,"gpt-3,qwen,mistral",2,1
