pair_idx,bias,prompt,ari,panel,Rank_ARI_9,Rank_Wrong_Answer_ARI_9
0,PB,cot,9,"gpt-3,qwen,mistral",1,2
1,PB,cot,9,"gpt-3,qwen,mistral",1,2
2,PB,cot,9,"gpt-3,qwen,mistral",1,2
3,PB,cot,9,"gpt-3,qwen,mistral",1,2
4,PB,cot,9,"gpt-3,qwen,mistral",1,2
5,PB,cot,9,"gpt-3,qwen,mistral",1,2
6,PB,cot,9,"gpt-3,qwen,mistral",1,2
7,PB,cot,9,"gpt-3,qwen,mistral",1,2
8,PB,cot,9,"gpt-3,qwen,mistral",1,2
9,PB,cot,9,"gpt-3,qwen,mistral",1,2
10,PB,cot,9,"gpt-3,qwen,mistral",1,2
11,PB,cot,9,"gpt-3,qwen,mistral",1,2
12,PB,cot,9,"gpt-3,qwen,mistral",1,2
13,PB,cot,9,"gpt-3,qwen,mistral",1,2
14,PB,cot,9,"gpt-3,qwen,mistral",1,2
15,PB,cot,9,"gpt-3,qwen,mistral",1,2
16,PB,cot,9,"gpt-3,qwen,mistral",1,2
17,PB,cot,9,"gpt-3,qwen,mistral",1,2
18,PB,cot,9,"gpt-3,qwen,mistral",1,2
19,PB,cot,9,"gpt-3,qwen,mistral",1,2
20,PB,cot,9,"gpt-3,qwen,mistral",1,2
21,PB,cot,9,"gpt-3,qwen,mistral",1,2
22,PB,cot,9,"gpt-3,qwen,mistral",1,2
23,PB,cot,9,"gpt-3,qwen,mistral",1,2
24,PB,cot,9,"gpt-3,qwen,mistral",1,2
25,PB,cot,9,"gpt-3,qwen,mistral",1,2
26,PB,cot,9,"gpt-3,qwen,mistral",1,2
27,PB,cot,9,"gpt-3,qwen,mistral",1,2
28,PB,cot,9,"gpt-3,qwen,mistral",1,2
29,PB,cot,9,"gpt-3,qwen,mistral",1,2
30,PB,cot,9,"gpt-3,qwen,mistral",1,2
31,PB,cot,9,"gpt-3,qwen,mistral",1,2
32,PB,cot,9,"gpt-3,qwen,mistral",1,2
33,PB,cot,9,"gpt-3,qwen,mistral",1,2
34,PB,cot,9,"gpt-3,qwen,mistral",1,2
35,PB,cot,9,"gpt-3,qwen,mistral",1,2
36,PB,cot,9,"gpt-3,qwen,mistral",1,2
37,PB,cot,9,"gpt-3,qwen,mistral",1,2
38,PB,cot,9,"gpt-3,qwen,mistral",1,2
39,PB,cot,9,"gpt-3,qwen,mistral",1,2
40,PB,cot,9,"gpt-3,qwen,mistral",1,2
41,PB,cot,9,"gpt-3,qwen,mistral",1,2
42,PB,cot,9,"gpt-3,qwen,mistral",1,2
43,PB,cot,9,"gpt-3,qwen,mistral",1,2
44,PB,cot,9,"gpt-3,qwen,mistral",1,2
45,PB,cot,9,"gpt-3,qwen,mistral",1,2
46,PB,cot,9,"gpt-3,qwen,mistral",1,2
47,PB,cot,9,"gpt-3,qwen,mistral",1,2
48,PB,cot,9,"gpt-3,qwen,mistral",1,2
49,PB,cot,9,"gpt-3,qwen,mistral",1,2
50,PB,cot,9,"gpt-3,qwen,mistral",1,2
51,PB,cot,9,"gpt-3,qwen,mistral",1,2
52,PB,cot,9,"gpt-3,qwen,mistral",1,2
53,PB,cot,9,"gpt-3,qwen,mistral",1,2
54,PB,cot,9,"gpt-3,qwen,mistral",1,2
55,PB,cot,9,"gpt-3,qwen,mistral",1,2
56,PB,cot,9,"gpt-3,qwen,mistral",1,2
57,PB,cot,9,"gpt-3,qwen,mistral",1,2
58,PB,cot,9,"gpt-3,qwen,mistral",1,2
59,PB,cot,9,"gpt-3,qwen,mistral",1,2
60,PB,cot,9,"gpt-3,qwen,mistral",1,2
61,PB,cot,9,"gpt-3,qwen,mistral",1,2
62,PB,cot,9,"gpt-3,qwen,mistral",1,2
63,PB,cot,9,"gpt-3,qwen,mistral",1,2
64,PB,cot,9,"gpt-3,qwen,mistral",1,2
65,PB,cot,9,"gpt-3,qwen,mistral",1,2
66,PB,cot,9,"gpt-3,qwen,mistral",1,2
67,PB,cot,9,"gpt-3,qwen,mistral",1,2
68,PB,cot,9,"gpt-3,qwen,mistral",1,2
69,PB,cot,9,"gpt-3,qwen,mistral",1,2
70,PB,cot,9,"gpt-3,qwen,mistral",1,2
71,PB,cot,9,"gpt-3,qwen,mistral",1,2
72,PB,cot,9,"gpt-3,qwen,mistral",1,2
73,PB,cot,9,"gpt-3,qwen,mistral",1,2
74,PB,cot,9,"gpt-3,qwen,mistral",1,2
75,PB,cot,9,"gpt-3,qwen,mistral",1,2
76,PB,cot,9,"gpt-3,qwen,mistral",1,2
77,PB,cot,9,"gpt-3,qwen,mistral",1,2
78,PB,cot,9,"gpt-3,qwen,mistral",1,2
79,PB,cot,9,"gpt-3,qwen,mistral",1,2
80,PB,cot,9,"gpt-3,qwen,mistral",1,2
81,PB,cot,9,"gpt-3,qwen,mistral",1,2
82,PB,cot,9,"gpt-3,qwen,mistral",1,2
83,PB,cot,9,"gpt-3,qwen,mistral",1,2
84,PB,cot,9,"gpt-3,qwen,mistral",1,2
85,PB,cot,9,"gpt-3,qwen,mistral",1,2
86,PB,cot,9,"gpt-3,qwen,mistral",1,2
87,PB,cot,9,"gpt-3,qwen,mistral",1,2
88,PB,cot,9,"gpt-3,qwen,mistral",1,2
89,PB,cot,9,"gpt-3,qwen,mistral",1,2
90,PB,cot,9,"gpt-3,qwen,mistral",1,2
91,PB,cot,9,"gpt-3,qwen,mistral",1,2
92,PB,cot,9,"gpt-3,qwen,mistral",1,2
93,PB,cot,9,"gpt-3,qwen,mistral",1,2
94,PB,cot,9,"gpt-3,qwen,mistral",1,2
95,PB,cot,9,"gpt-3,qwen,mistral",1,2
96,PB,cot,9,"gpt-3,qwen,mistral",1,2
97,PB,cot,9,"gpt-3,qwen,mistral",1,2
98,PB,cot,9,"gpt-3,qwen,mistral",1,2
99,PB,cot,9,"gpt-3,qwen,mistral",1,2
