pair_idx,bias,prompt,ari,panel,Rank_ARI_9,Rank_Wrong_Answer_ARI_9
0,NB,baseline,9,"gpt-3,qwen,mistral",1,2
1,NB,baseline,9,"gpt-3,qwen,mistral",1,2
2,NB,baseline,9,"gpt-3,qwen,mistral",1,2
3,NB,baseline,9,"gpt-3,qwen,mistral",1,2
4,NB,baseline,9,"gpt-3,qwen,mistral",1,2
5,NB,baseline,9,"gpt-3,qwen,mistral",1,2
6,NB,baseline,9,"gpt-3,qwen,mistral",1,2
7,NB,baseline,9,"gpt-3,qwen,mistral",1,2
8,NB,baseline,9,"gpt-3,qwen,mistral",1,2
9,NB,baseline,9,"gpt-3,qwen,mistral",1,2
10,NB,baseline,9,"gpt-3,qwen,mistral",1,2
11,NB,baseline,9,"gpt-3,qwen,mistral",1,2
12,NB,baseline,9,"gpt-3,qwen,mistral",1,2
13,NB,baseline,9,"gpt-3,qwen,mistral",1,2
14,NB,baseline,9,"gpt-3,qwen,mistral",1,2
15,NB,baseline,9,"gpt-3,qwen,mistral",1,2
16,NB,baseline,9,"gpt-3,qwen,mistral",1,2
17,NB,baseline,9,"gpt-3,qwen,mistral",1,2
18,NB,baseline,9,"gpt-3,qwen,mistral",1,2
19,NB,baseline,9,"gpt-3,qwen,mistral",1,2
20,NB,baseline,9,"gpt-3,qwen,mistral",1,2
21,NB,baseline,9,"gpt-3,qwen,mistral",1,2
22,NB,baseline,9,"gpt-3,qwen,mistral",1,2
23,NB,baseline,9,"gpt-3,qwen,mistral",1,2
24,NB,baseline,9,"gpt-3,qwen,mistral",1,2
25,NB,baseline,9,"gpt-3,qwen,mistral",1,2
26,NB,baseline,9,"gpt-3,qwen,mistral",1,2
27,NB,baseline,9,"gpt-3,qwen,mistral",1,2
28,NB,baseline,9,"gpt-3,qwen,mistral",1,2
29,NB,baseline,9,"gpt-3,qwen,mistral",1,2
30,NB,baseline,9,"gpt-3,qwen,mistral",1,2
31,NB,baseline,9,"gpt-3,qwen,mistral",1,2
32,NB,baseline,9,"gpt-3,qwen,mistral",1,2
33,NB,baseline,9,"gpt-3,qwen,mistral",1,2
