pair_idx,bias,prompt,ari,panel,Rank_ARI_5,Rank_Wrong_Answer_ARI_5,Rank_ARI_9,Rank_Wrong_Answer_ARI_9,Rank_ARI_14,Rank_Wrong_Answer_ARI_14
0,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
1,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
2,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
3,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
4,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
5,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
6,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
7,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
8,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
9,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
10,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
11,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
12,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
13,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
14,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
15,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
16,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
17,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
18,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
19,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
20,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
21,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
22,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
23,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
24,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
25,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
26,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
27,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
28,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
29,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
30,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
31,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
32,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
33,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
34,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
35,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
36,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
37,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
38,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
39,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
40,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
41,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
42,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
43,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
44,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
45,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
46,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
47,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
48,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
49,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
50,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
51,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
52,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
53,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
54,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
55,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
56,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
57,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
58,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
59,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
60,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
61,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
62,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
63,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
64,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
65,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
66,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
67,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
68,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
69,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
70,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
71,NB,baseline,5,"gpt-3,qwen,mistral",1,2,,,,
