pair_idx,bias,prompt,ari,panel,Rank_ARI_14,Rank_Wrong_Answer_ARI_14
0,NB,cot,14,"gpt-3,qwen,mistral",1,2
1,NB,cot,14,"gpt-3,qwen,mistral",1,2
2,NB,cot,14,"gpt-3,qwen,mistral",1,2
3,NB,cot,14,"gpt-3,qwen,mistral",1,2
4,NB,cot,14,"gpt-3,qwen,mistral",1,2
5,NB,cot,14,"gpt-3,qwen,mistral",1,2
6,NB,cot,14,"gpt-3,qwen,mistral",1,2
7,NB,cot,14,"gpt-3,qwen,mistral",1,2
8,NB,cot,14,"gpt-3,qwen,mistral",1,2
9,NB,cot,14,"gpt-3,qwen,mistral",1,2
10,NB,cot,14,"gpt-3,qwen,mistral",1,2
11,NB,cot,14,"gpt-3,qwen,mistral",1,2
12,NB,cot,14,"gpt-3,qwen,mistral",1,2
13,NB,cot,14,"gpt-3,qwen,mistral",1,2
14,NB,cot,14,"gpt-3,qwen,mistral",1,2
15,NB,cot,14,"gpt-3,qwen,mistral",1,2
16,NB,cot,14,"gpt-3,qwen,mistral",1,2
17,NB,cot,14,"gpt-3,qwen,mistral",1,2
18,NB,cot,14,"gpt-3,qwen,mistral",1,2
19,NB,cot,14,"gpt-3,qwen,mistral",1,2
20,NB,cot,14,"gpt-3,qwen,mistral",1,2
21,NB,cot,14,"gpt-3,qwen,mistral",1,2
22,NB,cot,14,"gpt-3,qwen,mistral",1,2
23,NB,cot,14,"gpt-3,qwen,mistral",1,2
24,NB,cot,14,"gpt-3,qwen,mistral",1,2
25,NB,cot,14,"gpt-3,qwen,mistral",1,2
26,NB,cot,14,"gpt-3,qwen,mistral",1,2
27,NB,cot,14,"gpt-3,qwen,mistral",1,2
28,NB,cot,14,"gpt-3,qwen,mistral",1,2
29,NB,cot,14,"gpt-3,qwen,mistral",1,2
30,NB,cot,14,"gpt-3,qwen,mistral",1,2
31,NB,cot,14,"gpt-3,qwen,mistral",1,2
32,NB,cot,14,"gpt-3,qwen,mistral",1,2
33,NB,cot,14,"gpt-3,qwen,mistral",1,2
34,NB,cot,14,"gpt-3,qwen,mistral",1,2
35,NB,cot,14,"gpt-3,qwen,mistral",1,2
36,NB,cot,14,"gpt-3,qwen,mistral",1,2
37,NB,cot,14,"gpt-3,qwen,mistral",1,2
38,NB,cot,14,"gpt-3,qwen,mistral",1,2
39,NB,cot,14,"gpt-3,qwen,mistral",1,2
40,NB,cot,14,"gpt-3,qwen,mistral",1,2
41,NB,cot,14,"gpt-3,qwen,mistral",1,2
42,NB,cot,14,"gpt-3,qwen,mistral",1,2
43,NB,cot,14,"gpt-3,qwen,mistral",1,2
44,NB,cot,14,"gpt-3,qwen,mistral",1,2
45,NB,cot,14,"gpt-3,qwen,mistral",1,2
46,NB,cot,14,"gpt-3,qwen,mistral",1,2
47,NB,cot,14,"gpt-3,qwen,mistral",1,2
48,NB,cot,14,"gpt-3,qwen,mistral",1,2
49,NB,cot,14,"gpt-3,qwen,mistral",1,2
50,NB,cot,14,"gpt-3,qwen,mistral",1,2
51,NB,cot,14,"gpt-3,qwen,mistral",1,2
52,NB,cot,14,"gpt-3,qwen,mistral",1,2
53,NB,cot,14,"gpt-3,qwen,mistral",1,2
54,NB,cot,14,"gpt-3,qwen,mistral",1,2
55,NB,cot,14,"gpt-3,qwen,mistral",1,2
56,NB,cot,14,"gpt-3,qwen,mistral",1,2
57,NB,cot,14,"gpt-3,qwen,mistral",1,2
58,NB,cot,14,"gpt-3,qwen,mistral",1,2
59,NB,cot,14,"gpt-3,qwen,mistral",1,2
60,NB,cot,14,"gpt-3,qwen,mistral",1,2
61,NB,cot,14,"gpt-3,qwen,mistral",1,2
62,NB,cot,14,"gpt-3,qwen,mistral",1,2
63,NB,cot,14,"gpt-3,qwen,mistral",1,2
64,NB,cot,14,"gpt-3,qwen,mistral",1,2
65,NB,cot,14,"gpt-3,qwen,mistral",1,2
66,NB,cot,14,"gpt-3,qwen,mistral",1,2
67,NB,cot,14,"gpt-3,qwen,mistral",1,2
68,NB,cot,14,"gpt-3,qwen,mistral",1,2
69,NB,cot,14,"gpt-3,qwen,mistral",1,2
70,NB,cot,14,"gpt-3,qwen,mistral",1,2
71,NB,cot,14,"gpt-3,qwen,mistral",1,2
72,NB,cot,14,"gpt-3,qwen,mistral",1,2
73,NB,cot,14,"gpt-3,qwen,mistral",1,2
74,NB,cot,14,"gpt-3,qwen,mistral",1,2
75,NB,cot,14,"gpt-3,qwen,mistral",1,2
76,NB,cot,14,"gpt-3,qwen,mistral",1,2
77,NB,cot,14,"gpt-3,qwen,mistral",1,2
78,NB,cot,14,"gpt-3,qwen,mistral",1,2
79,NB,cot,14,"gpt-3,qwen,mistral",1,2
80,NB,cot,14,"gpt-3,qwen,mistral",1,2
81,NB,cot,14,"gpt-3,qwen,mistral",1,2
82,NB,cot,14,"gpt-3,qwen,mistral",1,2
83,NB,cot,14,"gpt-3,qwen,mistral",1,2
84,NB,cot,14,"gpt-3,qwen,mistral",1,2
85,NB,cot,14,"gpt-3,qwen,mistral",1,2
86,NB,cot,14,"gpt-3,qwen,mistral",1,2
