pair_idx,bias,prompt,ari,panel,Rank_ARI_9,Rank_Wrong_Answer_ARI_9
0,PB,baseline,9,"gpt-3,qwen,mistral",2,1
1,PB,baseline,9,"gpt-3,qwen,mistral",1,2
2,PB,baseline,9,"gpt-3,qwen,mistral",1,2
3,PB,baseline,9,"gpt-3,qwen,mistral",1,2
4,PB,baseline,9,"gpt-3,qwen,mistral",2,1
5,PB,baseline,9,"gpt-3,qwen,mistral",2,1
6,PB,baseline,9,"gpt-3,qwen,mistral",1,2
7,PB,baseline,9,"gpt-3,qwen,mistral",2,1
8,PB,baseline,9,"gpt-3,qwen,mistral",1,2
9,PB,baseline,9,"gpt-3,qwen,mistral",1,2
10,PB,baseline,9,"gpt-3,qwen,mistral",2,1
11,PB,baseline,9,"gpt-3,qwen,mistral",1,2
12,PB,baseline,9,"gpt-3,qwen,mistral",1,2
13,PB,baseline,9,"gpt-3,qwen,mistral",1,2
14,PB,baseline,9,"gpt-3,qwen,mistral",1,2
15,PB,baseline,9,"gpt-3,qwen,mistral",2,1
16,PB,baseline,9,"gpt-3,qwen,mistral",1,2
17,PB,baseline,9,"gpt-3,qwen,mistral",1,2
18,PB,baseline,9,"gpt-3,qwen,mistral",1,2
19,PB,baseline,9,"gpt-3,qwen,mistral",1,2
20,PB,baseline,9,"gpt-3,qwen,mistral",2,1
21,PB,baseline,9,"gpt-3,qwen,mistral",1,2
22,PB,baseline,9,"gpt-3,qwen,mistral",1,2
23,PB,baseline,9,"gpt-3,qwen,mistral",1,2
24,PB,baseline,9,"gpt-3,qwen,mistral",1,2
25,PB,baseline,9,"gpt-3,qwen,mistral",2,1
26,PB,baseline,9,"gpt-3,qwen,mistral",1,2
27,PB,baseline,9,"gpt-3,qwen,mistral",2,1
28,PB,baseline,9,"gpt-3,qwen,mistral",1,2
29,PB,baseline,9,"gpt-3,qwen,mistral",1,2
30,PB,baseline,9,"gpt-3,qwen,mistral",1,2
31,PB,baseline,9,"gpt-3,qwen,mistral",2,1
32,PB,baseline,9,"gpt-3,qwen,mistral",2,1
33,PB,baseline,9,"gpt-3,qwen,mistral",2,1
34,PB,baseline,9,"gpt-3,qwen,mistral",1,2
35,PB,baseline,9,"gpt-3,qwen,mistral",2,1
36,PB,baseline,9,"gpt-3,qwen,mistral",1,2
37,PB,baseline,9,"gpt-3,qwen,mistral",1,2
38,PB,baseline,9,"gpt-3,qwen,mistral",1,2
39,PB,baseline,9,"gpt-3,qwen,mistral",2,1
40,PB,baseline,9,"gpt-3,qwen,mistral",1,2
41,PB,baseline,9,"gpt-3,qwen,mistral",1,2
42,PB,baseline,9,"gpt-3,qwen,mistral",1,2
43,PB,baseline,9,"gpt-3,qwen,mistral",1,2
44,PB,baseline,9,"gpt-3,qwen,mistral",1,2
45,PB,baseline,9,"gpt-3,qwen,mistral",1,2
46,PB,baseline,9,"gpt-3,qwen,mistral",1,2
47,PB,baseline,9,"gpt-3,qwen,mistral",1,2
48,PB,baseline,9,"gpt-3,qwen,mistral",1,2
49,PB,baseline,9,"gpt-3,qwen,mistral",1,2
50,PB,baseline,9,"gpt-3,qwen,mistral",1,2
51,PB,baseline,9,"gpt-3,qwen,mistral",1,2
52,PB,baseline,9,"gpt-3,qwen,mistral",1,2
53,PB,baseline,9,"gpt-3,qwen,mistral",1,2
54,PB,baseline,9,"gpt-3,qwen,mistral",2,1
55,PB,baseline,9,"gpt-3,qwen,mistral",2,1
56,PB,baseline,9,"gpt-3,qwen,mistral",2,1
57,PB,baseline,9,"gpt-3,qwen,mistral",1,2
58,PB,baseline,9,"gpt-3,qwen,mistral",2,1
59,PB,baseline,9,"gpt-3,qwen,mistral",1,2
60,PB,baseline,9,"gpt-3,qwen,mistral",1,2
61,PB,baseline,9,"gpt-3,qwen,mistral",1,2
62,PB,baseline,9,"gpt-3,qwen,mistral",1,2
63,PB,baseline,9,"gpt-3,qwen,mistral",1,2
64,PB,baseline,9,"gpt-3,qwen,mistral",2,1
65,PB,baseline,9,"gpt-3,qwen,mistral",1,2
66,PB,baseline,9,"gpt-3,qwen,mistral",1,2
67,PB,baseline,9,"gpt-3,qwen,mistral",1,2
68,PB,baseline,9,"gpt-3,qwen,mistral",1,2
69,PB,baseline,9,"gpt-3,qwen,mistral",1,2
70,PB,baseline,9,"gpt-3,qwen,mistral",1,2
71,PB,baseline,9,"gpt-3,qwen,mistral",1,2
72,PB,baseline,9,"gpt-3,qwen,mistral",1,2
73,PB,baseline,9,"gpt-3,qwen,mistral",1,2
74,PB,baseline,9,"gpt-3,qwen,mistral",1,2
75,PB,baseline,9,"gpt-3,qwen,mistral",1,2
76,PB,baseline,9,"gpt-3,qwen,mistral",1,2
77,PB,baseline,9,"gpt-3,qwen,mistral",1,2
78,PB,baseline,9,"gpt-3,qwen,mistral",1,2
79,PB,baseline,9,"gpt-3,qwen,mistral",1,2
80,PB,baseline,9,"gpt-3,qwen,mistral",2,1
81,PB,baseline,9,"gpt-3,qwen,mistral",2,1
82,PB,baseline,9,"gpt-3,qwen,mistral",2,1
83,PB,baseline,9,"gpt-3,qwen,mistral",1,2
84,PB,baseline,9,"gpt-3,qwen,mistral",1,2
85,PB,baseline,9,"gpt-3,qwen,mistral",1,2
86,PB,baseline,9,"gpt-3,qwen,mistral",2,1
87,PB,baseline,9,"gpt-3,qwen,mistral",1,2
88,PB,baseline,9,"gpt-3,qwen,mistral",1,2
89,PB,baseline,9,"gpt-3,qwen,mistral",1,2
90,PB,baseline,9,"gpt-3,qwen,mistral",1,2
91,PB,baseline,9,"gpt-3,qwen,mistral",1,2
92,PB,baseline,9,"gpt-3,qwen,mistral",1,2
93,PB,baseline,9,"gpt-3,qwen,mistral",1,2
94,PB,baseline,9,"gpt-3,qwen,mistral",1,2
95,PB,baseline,9,"gpt-3,qwen,mistral",1,2
96,PB,baseline,9,"gpt-3,qwen,mistral",2,1
97,PB,baseline,9,"gpt-3,qwen,mistral",1,2
98,PB,baseline,9,"gpt-3,qwen,mistral",1,2
99,PB,baseline,9,"gpt-3,qwen,mistral",1,2
100,PB,baseline,9,"gpt-3,qwen,mistral",1,2
101,PB,baseline,9,"gpt-3,qwen,mistral",1,2
102,PB,baseline,9,"gpt-3,qwen,mistral",1,2
103,PB,baseline,9,"gpt-3,qwen,mistral",1,2
104,PB,baseline,9,"gpt-3,qwen,mistral",2,1
105,PB,baseline,9,"gpt-3,qwen,mistral",1,2
106,PB,baseline,9,"gpt-3,qwen,mistral",2,1
107,PB,baseline,9,"gpt-3,qwen,mistral",1,2
108,PB,baseline,9,"gpt-3,qwen,mistral",1,2
109,PB,baseline,9,"gpt-3,qwen,mistral",1,2
110,PB,baseline,9,"gpt-3,qwen,mistral",1,2
111,PB,baseline,9,"gpt-3,qwen,mistral",1,2
112,PB,baseline,9,"gpt-3,qwen,mistral",2,1
113,PB,baseline,9,"gpt-3,qwen,mistral",1,2
114,PB,baseline,9,"gpt-3,qwen,mistral",1,2
