ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
5,0.306570606152751,0.2198215803250103,CR-baseline,Correct,102,score_exact,CR,GPT-4,391,0.2608695652173913
5,0.8394567760282426,0.7607841427138461,CR-baseline,Correct,314,score_eps1,CR,GPT-4,391,0.80306905370844
9,0.356951157334203,0.2656821891106442,CR-baseline,Correct,121,score_exact,CR,GPT-4,391,0.309462915601023
9,0.8534669705759399,0.7771658934189127,CR-baseline,Correct,320,score_eps1,CR,GPT-4,391,0.8184143222506394
14,0.6656855459110441,0.5698520297978767,CR-baseline,Correct,242,score_exact,CR,GPT-4,391,0.618925831202046
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,score_eps1,CR,GPT-4,391,0.9744245524296676
5,0.7849682687282042,0.6987701932116226,CR-baseline,Wrong,291,score_exact,CR,GPT-4,391,0.7442455242966752
5,0.9945258140782346,0.970418447697022,CR-baseline,Wrong,386,score_eps1,CR,GPT-4,391,0.9872122762148338
9,0.7777806685769929,0.690761820736452,CR-baseline,Wrong,288,score_exact,CR,GPT-4,391,0.7365728900255755
9,0.9860497458032612,0.9535678949280252,CR-baseline,Wrong,381,score_eps1,CR,GPT-4,391,0.9744245524296676
14,0.7992912403787017,0.714839166813889,CR-baseline,Wrong,297,score_exact,CR,GPT-4,391,0.7595907928388747
14,0.9842197357785264,0.950332580743966,CR-baseline,Wrong,380,score_eps1,CR,GPT-4,391,0.9718670076726342
5,0.997387249779346,0.9776876604134984,CR-baseline,Correct,388,rank_bin_top3,CR,GPT-4,391,0.9923273657289002
5,0.956319725427974,0.9073180521714028,CR-baseline,Correct,366,rank_exact,CR,GPT-4,391,0.9360613810741688
9,0.9929486436989288,0.9669302938675338,CR-baseline,Correct,385,rank_bin_top3,CR,GPT-4,391,0.9846547314578004
9,0.8696856578279965,0.7964044756284142,CR-baseline,Correct,327,rank_exact,CR,GPT-4,391,0.8363171355498721
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,rank_bin_top3,CR,GPT-4,391,0.9744245524296676
14,0.8925841136851522,0.8241592618591984,CR-baseline,Correct,337,rank_exact,CR,GPT-4,391,0.8618925831202046
5,0.9929486436989288,0.9669302938675338,CR-baseline,Wrong,385,rank_bin_top3,CR,GPT-4,391,0.9846547314578004
5,0.820636573683457,0.7390817513882798,CR-baseline,Wrong,306,rank_exact,CR,GPT-4,391,0.782608695652174
9,0.9960146924570076,0.9739948935270428,CR-baseline,Wrong,387,rank_bin_top3,CR,GPT-4,391,0.989769820971867
9,0.8111712222453427,0.7282858059912181,CR-baseline,Wrong,302,rank_exact,CR,GPT-4,391,0.7723785166240409
14,1.0,0.9902708828192264,CR-baseline,Wrong,391,rank_bin_top3,CR,GPT-4,391,1.0
14,0.8347661525668456,0.7553441177576551,CR-baseline,Wrong,312,rank_exact,CR,GPT-4,391,0.7979539641943734
5,0.9945258140782346,0.970418447697022,CR-baseline,Both,386,rank_top1,CR,GPT-4,391,0.9872122762148338
9,0.9960146924570076,0.9739948935270428,CR-baseline,Both,387,rank_top1,CR,GPT-4,391,0.989769820971867
14,0.9945258140782346,0.970418447697022,CR-baseline,Both,386,rank_top1,CR,GPT-4,391,0.9872122762148338
5,0.306570606152751,0.2198215803250103,CR-baseline,Correct,102,score_exact,CR,GPT-4,391,0.2608695652173913
5,0.8394567760282426,0.7607841427138461,CR-baseline,Correct,314,score_eps1,CR,GPT-4,391,0.80306905370844
9,0.356951157334203,0.2656821891106442,CR-baseline,Correct,121,score_exact,CR,GPT-4,391,0.309462915601023
9,0.8534669705759399,0.7771658934189127,CR-baseline,Correct,320,score_eps1,CR,GPT-4,391,0.8184143222506394
14,0.6656855459110441,0.5698520297978767,CR-baseline,Correct,242,score_exact,CR,GPT-4,391,0.618925831202046
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,score_eps1,CR,GPT-4,391,0.9744245524296676
5,0.7849682687282042,0.6987701932116226,CR-baseline,Wrong,291,score_exact,CR,GPT-4,391,0.7442455242966752
5,0.9945258140782346,0.970418447697022,CR-baseline,Wrong,386,score_eps1,CR,GPT-4,391,0.9872122762148338
9,0.7777806685769929,0.690761820736452,CR-baseline,Wrong,288,score_exact,CR,GPT-4,391,0.7365728900255755
9,0.9860497458032612,0.9535678949280252,CR-baseline,Wrong,381,score_eps1,CR,GPT-4,391,0.9744245524296676
14,0.7992912403787017,0.714839166813889,CR-baseline,Wrong,297,score_exact,CR,GPT-4,391,0.7595907928388747
14,0.9842197357785264,0.950332580743966,CR-baseline,Wrong,380,score_eps1,CR,GPT-4,391,0.9718670076726342
5,0.997387249779346,0.9776876604134984,CR-baseline,Correct,388,rank_bin_overall,CR,GPT-4,391,0.9923273657289002
5,0.956319725427974,0.9073180521714028,CR-baseline,Correct,366,rank_exact,CR,GPT-4,391,0.9360613810741688
5,1.0000000000000002,0.990069681692327,CR-baseline,Correct,383,rank_bin_top_preserve,CR,GPT-4,383,1.0
5,0.8631557141764026,0.3057423946026273,CR-baseline,Correct,5,rank_bin_bottom_preserve,CR,GPT-4,8,0.625
9,0.9929486436989288,0.9669302938675338,CR-baseline,Correct,385,rank_bin_overall,CR,GPT-4,391,0.9846547314578004
9,0.8696856578279965,0.7964044756284142,CR-baseline,Correct,327,rank_exact,CR,GPT-4,391,0.8363171355498721
9,0.99736020940128,0.9774596092269964,CR-baseline,Correct,384,rank_bin_top_preserve,CR,GPT-4,387,0.992248062015504
9,0.6993581574175981,0.0455872608097005,CR-baseline,Correct,1,rank_bin_bottom_preserve,CR,GPT-4,4,0.25
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,rank_bin_overall,CR,GPT-4,391,0.9744245524296676
14,0.8925841136851522,0.8241592618591984,CR-baseline,Correct,337,rank_exact,CR,GPT-4,391,0.8618925831202046
14,0.9972756224345296,0.9767466008687756,CR-baseline,Correct,372,rank_bin_top_preserve,CR,GPT-4,375,0.992
14,0.7690134759450765,0.331785563988119,CR-baseline,Correct,9,rank_bin_bottom_preserve,CR,GPT-4,16,0.5625
5,0.9929486436989288,0.9669302938675338,CR-baseline,Wrong,385,rank_bin_overall,CR,GPT-4,391,0.9846547314578004
5,0.820636573683457,0.7390817513882798,CR-baseline,Wrong,306,rank_exact,CR,GPT-4,391,0.782608695652174
