ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
5,0.9741246230124568,0.9332238320110594,JARI5-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,383,0.95822454308094
5,0.5907245696898311,0.071479212752109,JARI5-baseline,Correct,2,rank_bin_bottom_preserve,RR,GPT-4,8,0.25
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
5,0.6873262302663417,0.1681803297062361,JARI5-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI5-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
5,0.9741246230124568,0.9332238320110594,JARI5-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,383,0.95822454308094
5,0.5907245696898311,0.071479212752109,JARI5-baseline,Correct,2,rank_bin_bottom_preserve,RR,GPT-4,8,0.25
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
5,0.6873262302663417,0.1681803297062361,JARI5-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI5-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
5,0.9741246230124568,0.9332238320110594,JARI5-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,383,0.95822454308094
5,0.5907245696898311,0.071479212752109,JARI5-baseline,Correct,2,rank_bin_bottom_preserve,RR,GPT-4,8,0.25
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
5,0.6873262302663417,0.1681803297062361,JARI5-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI5-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
5,0.9895967538178524,0.960151535331022,JARI9-baseline,Correct,383,rank_bin_overall,RR,GPT-4,391,0.979539641943734
5,0.9327528555725604,0.8751663557300822,JARI9-baseline,Correct,355,rank_exact,RR,GPT-4,391,0.907928388746803
