judge,prompt,ari,metric_kind,swap_flip_rate,sfr_ci_low,sfr_ci_high,flips_count,position_advantage_index,pos1_win_rate_avg,pos1_win_rate_orderA,pos1_win_rate_orderB,tie_rate_any,n_pairs_strict,n_pairs_total
Mistral,baseline,5,rank,0.5463917525773195,0.49406688748829886,0.592702899703362,212,0.5140664961636827,0.7570332480818414,0.9667519181585678,0.5473145780051151,0.0076726342710997444,388.0,391.0
Mistral,baseline,9,rank,0.6005154639175257,0.5510241436497447,0.6480359563781832,233,0.5728900255754477,0.7864450127877238,0.9846547314578005,0.5882352941176471,0.0076726342710997444,388.0,391.0
Mistral,baseline,14,rank,0.7007672634271099,0.6536040389880866,0.7440239113412126,274,0.6803069053708439,0.840153452685422,0.9872122762148338,0.6930946291560103,0.0,391.0,391.0
Mistral,cot,5,rank,0.5115089514066496,0.462091774962775,0.5607021839732996,200,0.49104859335038364,0.7455242966751918,0.9872122762148338,0.5038363171355499,0.0,391.0,391.0
Mistral,cot,9,rank,0.5012787723785166,0.4519483467222182,0.5505843153817901,196,0.48593350383631706,0.7429667519181585,0.9923273657289002,0.4936061381074169,0.0,391.0,391.0
Mistral,cot,14,rank,0.35038363171355497,0.30475836468791423,0.3989201691431176,137,0.3350383631713556,0.6675191815856778,0.9923273657289002,0.34271099744245526,0.0,391.0,391.0
PoLL,baseline,5,rank,0.35294117647058826,0.30721345576774095,0.40153040227130754,138,0.3529411764705883,0.6764705882352942,0.9948849104859335,0.35805626598465473,0.0,391.0,391.0
PoLL,baseline,9,rank,0.2692307692307692,0.2276172306894592,0.3153460710632593,105,0.2659846547314577,0.6329923273657289,0.9974424552429667,0.26854219948849106,0.0025575447570332483,390.0,391.0
PoLL,baseline,14,rank,0.5345268542199488,0.48498937281700005,0.5833925039912233,209,0.5191815856777493,0.7595907928388747,0.9923273657289002,0.5268542199488491,0.0,391.0,391.0
PoLL,cot,5,rank,0.14578005115089515,0.11424878637177453,0.1842038108179333,57,0.13554987212276215,0.5677749360613811,0.9948849104859335,0.14066496163682865,0.0,391.0,391.0
