ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
5,0.306570606152751,0.2198215803250103,CR-baseline,Correct,102,score_exact,CR,GPT-4,391,0.2608695652173913
5,0.8394567760282426,0.7607841427138461,CR-baseline,Correct,314,score_eps1,CR,GPT-4,391,0.80306905370844
5,0.7849682687282042,0.6987701932116226,CR-baseline,Wrong,291,score_exact,CR,GPT-4,391,0.7442455242966752
5,0.9945258140782346,0.970418447697022,CR-baseline,Wrong,386,score_eps1,CR,GPT-4,391,0.9872122762148338
5,0.997387249779346,0.9776876604134984,CR-baseline,Correct,388,rank_bin_overall,CR,GPT-4,391,0.9923273657289002
5,0.956319725427974,0.9073180521714028,CR-baseline,Correct,366,rank_exact,CR,GPT-4,391,0.9360613810741688
5,1.0000000000000002,0.990069681692327,CR-baseline,Correct,383,rank_bin_top_preserve,CR,GPT-4,383,1.0
5,0.8631557141764026,0.3057423946026273,CR-baseline,Correct,5,rank_bin_bottom_preserve,CR,GPT-4,8,0.625
5,0.9929486436989288,0.9669302938675338,CR-baseline,Wrong,385,rank_bin_overall,CR,GPT-4,391,0.9846547314578004
5,0.820636573683457,0.7390817513882798,CR-baseline,Wrong,306,rank_exact,CR,GPT-4,391,0.782608695652174
5,0.8922087325936989,0.3967781474611453,CR-baseline,Wrong,7,rank_bin_top_preserve,CR,GPT-4,10,0.7
5,0.9973185828404268,0.9771086557142438,CR-baseline,Wrong,378,rank_bin_bottom_preserve,CR,GPT-4,381,0.9921259842519684
5,0.9945258140782346,0.970418447697022,CR-baseline,Both,386,rank_top1,CR,GPT-4,391,0.9872122762148338
5,0.306570606152751,0.2198215803250103,CR-baseline,Correct,102,score_exact,CR,GPT-4,391,0.2608695652173913
5,0.8394567760282426,0.7607841427138461,CR-baseline,Correct,314,score_eps1,CR,GPT-4,391,0.80306905370844
5,0.7849682687282042,0.6987701932116226,CR-baseline,Wrong,291,score_exact,CR,GPT-4,391,0.7442455242966752
5,0.9945258140782346,0.970418447697022,CR-baseline,Wrong,386,score_eps1,CR,GPT-4,391,0.9872122762148338
5,0.9973872497793461,0.9776876604134983,CR-baseline,Correct,388,rank_bin_overall,CR,GPT-4,391,0.9923273657289002
5,0.9563197254279739,0.9073180521714027,CR-baseline,Correct,366,rank_exact,CR,GPT-4,391,0.9360613810741688
5,1.0000000000000002,0.990069681692327,CR-baseline,Correct,383,rank_bin_top_preserve,CR,GPT-4,383,1.0
5,0.8631557141764026,0.30574239460262737,CR-baseline,Correct,5,rank_bin_bottom_preserve,CR,GPT-4,8,0.625
5,0.9929486436989287,0.9669302938675338,CR-baseline,Wrong,385,rank_bin_overall,CR,GPT-4,391,0.9846547314578005
5,0.820636573683457,0.7390817513882798,CR-baseline,Wrong,306,rank_exact,CR,GPT-4,391,0.782608695652174
5,0.8922087325936989,0.39677814746114537,CR-baseline,Wrong,7,rank_bin_top_preserve,CR,GPT-4,10,0.7
5,0.9973185828404268,0.9771086557142438,CR-baseline,Wrong,378,rank_bin_bottom_preserve,CR,GPT-4,381,0.9921259842519685
5,0.9945258140782346,0.970418447697022,CR-baseline,Both,386,rank_top1,CR,GPT-4,391,0.9872122762148338
